task,model,n_splits,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,average_precision_mean,average_precision_std,average_precision_ci95_low,average_precision_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,f1_positive_mean,f1_positive_std,f1_positive_ci95_low,f1_positive_ci95_high,precision_positive_mean,precision_positive_std,precision_positive_ci95_low,precision_positive_ci95_high,recall_positive_mean,recall_positive_std,recall_positive_ci95_low,recall_positive_ci95_high,specificity_negative_mean,specificity_negative_std,specificity_negative_ci95_low,specificity_negative_ci95_high,tp_sum,fp_sum,tn_sum,fn_sum
primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,15,0.9962196679438059,0.008194304421254066,0.97727969348659,1.0,0.9685185185185184,0.06953697539080958,0.8055555555555556,1.0,0.9210344827586207,0.12570597874454456,0.6666666666666666,1.0,0.843015873015873,0.17435258249097432,0.5,1.0,0.9066666666666666,0.14125289714685837,0.6525,1.0,0.8555555555555555,0.25871068190396956,0.3333333333333333,1.0,0.9865134099616859,0.02124090778247219,0.9445977011494253,1.0,36,6,438,6
primary_flare_vs_managed_sle,mean_std_pca20_logreg_balanced,15,0.9955044699872286,0.011760701779298147,0.967088122605364,1.0,0.9688888888888889,0.07989742100717573,0.7758333333333333,1.0,0.7132950191570882,0.15630174498174276,0.5,0.9939655172413794,0.513015873015873,0.3091335408093757,0.0,0.9500000000000001,0.75,0.411877235523957,0.0,1.0,0.4333333333333333,0.3199702367110922,0.0,1.0,0.9932567049808428,0.01880620085960698,0.9445977011494253,1.0,19,3,441,23
primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,15,0.9841123882503193,0.020312123785630656,0.9405747126436782,1.0,0.8851851851851851,0.1577183359225699,0.5311111111111111,1.0,0.8198467432950193,0.1439086602091286,0.5466666666666666,1.0,0.6949206349206348,0.2664993806354205,0.11666666666666667,1.0,0.7833333333333332,0.29847495973247334,0.11666666666666667,1.0,0.6555555555555554,0.2849858438886591,0.11666666666666667,1.0,0.9841379310344827,0.021609719450026838,0.9445977011494253,1.0,28,7,437,14
primary_flare_vs_managed_sle,mean_pca5_logreg_balanced,15,0.8788250319284803,0.16119945073732395,0.5094444444444445,1.0,0.7448121309715513,0.25135908915747945,0.19837962962962966,1.0,0.7939463601532566,0.15056967781769484,0.5,0.9825,0.5141636141636141,0.2904795778494866,0.0,0.93,0.49073260073260083,0.3576948316753935,0.0,1.0,0.6888888888888888,0.34426518632954817,0.0,1.0,0.8990038314176245,0.12237687384453536,0.6566666666666666,1.0,30,45,399,12
primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,15,0.7656449553001275,0.1284717005299457,0.5411111111111111,0.9578352490421457,0.3697451540315093,0.22609506386263817,0.1090776182881446,0.8172549019607844,0.6667049808429119,0.16270016290524403,0.3891666666666667,0.8632183908045977,0.2541311486357926,0.13617215734408988,0.0,0.43125,0.15953981203981202,0.08613786878499484,0.0,0.27576923076923077,0.6555555555555554,0.3589372909520252,0.0,1.0,0.6778544061302684,0.09160902714666523,0.5345402298850574,0.8179310344827586,29,143,301,13
primary_flare_vs_managed_sle,dummy_prior,15,0.5,0.0,0.5,0.5,0.08636363636363636,0.012420422612570495,0.0625,0.09375,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,444,42
