threshold,roc_auc,average_precision,balanced_accuracy,f1_positive,precision_positive,recall_positive,specificity_negative,tp,fp,tn,fn,task,model,split,threshold_policy
0.5,0.9777777777777777,0.8055555555555556,0.9666666666666667,0.75,0.6,1.0,0.9333333333333333,3,2,28,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,6,target_specificity_0.95
0.5,0.9777777777777777,0.8055555555555556,0.9666666666666667,0.75,0.6,1.0,0.9333333333333333,3,2,28,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,6,target_specificity_0.90
0.5,0.9777777777777777,0.8055555555555556,0.9666666666666667,0.75,0.6,1.0,0.9333333333333333,3,2,28,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,6,target_recall_0.80
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,7,default_0.50
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,7,max_balanced_accuracy_train
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,7,target_specificity_0.99
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,7,target_specificity_0.95
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,7,target_specificity_0.90
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,7,target_recall_0.80
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,8,default_0.50
0.9649287270313812,1.0,1.0,0.75,0.6666666666666666,1.0,0.5,1.0,1,0,30,1,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,8,max_balanced_accuracy_train
0.9649287270313812,1.0,1.0,0.75,0.6666666666666666,1.0,0.5,1.0,1,0,30,1,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,8,target_specificity_0.99
0.9649287270313812,1.0,1.0,0.75,0.6666666666666666,1.0,0.5,1.0,1,0,30,1,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,8,target_specificity_0.95
0.9649287270313812,1.0,1.0,0.75,0.6666666666666666,1.0,0.5,1.0,1,0,30,1,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,8,target_specificity_0.90
0.9649287270313812,1.0,1.0,0.75,0.6666666666666666,1.0,0.5,1.0,1,0,30,1,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,8,target_recall_0.80
0.5,1.0,1.0,0.9827586206896552,0.8571428571428571,0.75,1.0,0.9655172413793104,3,1,28,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,9,default_0.50
0.5,1.0,1.0,0.9827586206896552,0.8571428571428571,0.75,1.0,0.9655172413793104,3,1,28,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,9,max_balanced_accuracy_train
0.5,1.0,1.0,0.9827586206896552,0.8571428571428571,0.75,1.0,0.9655172413793104,3,1,28,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,9,target_specificity_0.99
0.5,1.0,1.0,0.9827586206896552,0.8571428571428571,0.75,1.0,0.9655172413793104,3,1,28,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,9,target_specificity_0.95
0.5,1.0,1.0,0.9827586206896552,0.8571428571428571,0.75,1.0,0.9655172413793104,3,1,28,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,9,target_specificity_0.90
0.5,1.0,1.0,0.9827586206896552,0.8571428571428571,0.75,1.0,0.9655172413793104,3,1,28,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,9,target_recall_0.80
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,10,default_0.50
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,10,max_balanced_accuracy_train
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,10,target_specificity_0.99
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,10,target_specificity_0.95
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,10,target_specificity_0.90
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,10,target_recall_0.80
0.5,1.0,1.0,0.9666666666666667,0.75,0.6,1.0,0.9333333333333333,3,2,28,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,11,default_0.50
0.960463017588223,1.0,1.0,0.8333333333333333,0.8,1.0,0.6666666666666666,1.0,2,0,30,1,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,11,max_balanced_accuracy_train
0.960463017588223,1.0,1.0,0.8333333333333333,0.8,1.0,0.6666666666666666,1.0,2,0,30,1,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,11,target_specificity_0.99
0.960463017588223,1.0,1.0,0.8333333333333333,0.8,1.0,0.6666666666666666,1.0,2,0,30,1,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,11,target_specificity_0.95
0.960463017588223,1.0,1.0,0.8333333333333333,0.8,1.0,0.6666666666666666,1.0,2,0,30,1,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,11,target_specificity_0.90
0.960463017588223,1.0,1.0,0.8333333333333333,0.8,1.0,0.6666666666666666,1.0,2,0,30,1,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,11,target_recall_0.80
0.5,1.0,1.0,0.9833333333333334,0.8571428571428571,0.75,1.0,0.9666666666666667,3,1,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,12,default_0.50
0.5,1.0,1.0,0.9833333333333334,0.8571428571428571,0.75,1.0,0.9666666666666667,3,1,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,12,max_balanced_accuracy_train
0.5,1.0,1.0,0.9833333333333334,0.8571428571428571,0.75,1.0,0.9666666666666667,3,1,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,12,target_specificity_0.99
0.5,1.0,1.0,0.9833333333333334,0.8571428571428571,0.75,1.0,0.9666666666666667,3,1,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,12,target_specificity_0.95
0.5,1.0,1.0,0.9833333333333334,0.8571428571428571,0.75,1.0,0.9666666666666667,3,1,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,12,target_specificity_0.90
0.5,1.0,1.0,0.9833333333333334,0.8571428571428571,0.75,1.0,0.9666666666666667,3,1,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,12,target_recall_0.80
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,13,default_0.50
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,13,max_balanced_accuracy_train
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,13,target_specificity_0.99
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,13,target_specificity_0.95
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,13,target_specificity_0.90
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,13,target_recall_0.80
0.5,0.9770114942528736,0.8055555555555556,0.9827586206896552,0.8571428571428571,0.75,1.0,0.9655172413793104,3,1,28,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,14,default_0.50
0.9749094634900082,0.9770114942528736,0.8055555555555556,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1,0,29,2,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,14,max_balanced_accuracy_train
0.9749094634900082,0.9770114942528736,0.8055555555555556,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1,0,29,2,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,14,target_specificity_0.99
0.9749094634900082,0.9770114942528736,0.8055555555555556,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1,0,29,2,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,14,target_specificity_0.95
0.9749094634900082,0.9770114942528736,0.8055555555555556,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1,0,29,2,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,14,target_specificity_0.90
0.9749094634900082,0.9770114942528736,0.8055555555555556,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,1,0,29,2,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,14,target_recall_0.80
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,15,default_0.50
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,15,max_balanced_accuracy_train
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,15,target_specificity_0.99
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,15,target_specificity_0.95
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,15,target_specificity_0.90
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,15,target_recall_0.80
