threshold,roc_auc,average_precision,balanced_accuracy,f1_positive,precision_positive,recall_positive,specificity_negative,tp,fp,tn,fn,task,model,split
0.838893396660115,0.5888888888888889,0.41203703703703703,0.65,0.4,0.5,0.3333333333333333,0.9666666666666667,1,1,29,2,primary_flare_vs_managed_sle,mean_pca5_logreg_balanced,6
0.6342390204780922,0.9888888888888889,0.9166666666666665,0.9333333333333333,0.6,0.42857142857142855,1.0,0.8666666666666667,3,4,26,0,primary_flare_vs_managed_sle,mean_pca5_logreg_balanced,7
0.8236405566328341,0.8333333333333334,0.5833333333333334,0.5,0.0,0.0,0.0,1.0,0,0,30,2,primary_flare_vs_managed_sle,mean_pca5_logreg_balanced,8
0.7176436392645305,0.9655172413793104,0.8333333333333333,0.7988505747126436,0.5714285714285714,0.5,0.6666666666666666,0.9310344827586207,2,2,27,1,primary_flare_vs_managed_sle,mean_pca5_logreg_balanced,9
0.8408095616187938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,29,0,primary_flare_vs_managed_sle,mean_pca5_logreg_balanced,10
0.6325771220555131,1.0,1.0,0.9333333333333333,0.6,0.42857142857142855,1.0,0.8666666666666667,3,4,26,0,primary_flare_vs_managed_sle,mean_pca5_logreg_balanced,11
0.8099125298468441,0.8666666666666667,0.7333333333333334,0.8333333333333333,0.8,1.0,0.6666666666666666,1.0,2,0,30,1,primary_flare_vs_managed_sle,mean_pca5_logreg_balanced,12
0.3395483294749607,1.0,1.0,0.8166666666666667,0.26666666666666666,0.15384615384615385,1.0,0.6333333333333333,2,11,19,0,primary_flare_vs_managed_sle,mean_pca5_logreg_balanced,13
0.6165286349797587,0.896551724137931,0.5777777777777777,0.7816091954022988,0.5,0.4,0.6666666666666666,0.896551724137931,2,3,26,1,primary_flare_vs_managed_sle,mean_pca5_logreg_balanced,14
0.42397164002341053,0.7701149425287356,0.7101449275362318,0.6954022988505747,0.3076923076923077,0.2,0.6666666666666666,0.7241379310344828,2,8,21,1,primary_flare_vs_managed_sle,mean_pca5_logreg_balanced,15
0.8507133019574793,1.0,1.0,0.8333333333333333,0.8,1.0,0.6666666666666666,1.0,2,0,30,1,primary_flare_vs_managed_sle,mean_pca10_logreg_balanced,1
